Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Profit Status,Sales Category
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2.00,0.00,6.99,48.00,Profit,Low Sales
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.00,2.00,0.00,3.30,11.00,Profit,Low Sales
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4.00,0.20,16.36,33.75,Profit,Low Sales
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1.00,0.00,0.84,50.00,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2.00,0.00,6.15,44.00,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.82,6.00,0.20,9.36,36.25,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3.00,0.00,68.96,47.00,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4.00,0.00,22.33,28.00,Profit,Low Sales
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.12,5.00,0.30,-15.22,-7.14,Loss,Low Sales
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.02,8.00,0.20,111.30,10.00,Profit,High Sales
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.97,4.00,0.20,62.99,37.50,Profit,Low Sales
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2.00,0.00,35.66,47.00,Profit,Low Sales
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.62,1.00,0.20,1.73,37.50,Profit,Low Sales
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3.00,0.00,8.76,46.00,Profit,Low Sales
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.94,8.00,0.20,-114.39,-13.75,Loss,High Sales
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2.00,0.20,1.21,1.25,Profit,Low Sales
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.78,1.00,0.20,-18.20,-25.00,Loss,Low Sales
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.25,3.00,0.80,-1.93,-155.00,Loss,Low Sales
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.71,3.00,0.60,-5.82,-60.00,Loss,Low Sales
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3.00,0.20,2.72,10.00,Profit,Low Sales
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.30,5.00,0.60,-14.48,-75.00,Loss,Low Sales
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1.00,0.00,56.20,27.00,Profit,Low Sales
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3.00,0.00,8.04,48.00,Profit,Low Sales
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.90,5.00,0.00,4.17,28.00,Profit,Low Sales
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1.00,0.00,6.20,29.00,Profit,Low Sales
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.98,7.00,0.20,62.81,31.25,Profit,Low Sales
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.38,3.00,0.20,-48.95,-21.25,Loss,Low Sales
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2.00,0.00,33.22,11.00,Profit,Low Sales
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1.00,0.00,6.80,34.00,Profit,Low Sales
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2.00,0.00,2.96,48.00,Profit,Low Sales
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.37,7.00,0.20,13.86,8.75,Profit,Low Sales
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.10,3.00,0.00,6.63,33.00,Profit,Low Sales
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.58,2.00,0.20,8.28,11.25,Profit,Low Sales
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1.00,0.00,3.11,48.00,Profit,Low Sales
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2.00,0.00,6.22,48.00,Profit,Low Sales
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3.00,0.00,16.54,31.00,Profit,Low Sales
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2.00,0.00,16.15,49.00,Profit,Low Sales
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.68,1.00,0.70,-3.79,-66.67,Loss,Low Sales
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7.00,0.00,40.54,42.00,Profit,Low Sales
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.31,3.00,0.20,17.96,35.00,Profit,Low Sales
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6.00,0.00,22.59,29.00,Profit,Low Sales
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.62,7.00,0.20,22.62,35.00,Profit,Low Sales
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.98,3.00,0.20,-10.80,-11.25,Loss,Low Sales
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.79,3.00,0.80,-3.04,-170.00,Loss,Low Sales
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4.00,0.00,11.72,49.00,Profit,Low Sales
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.90,6.00,0.20,-26.88,-11.25,Loss,Low Sales
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3.00,0.20,-3.84,-3.75,Loss,Low Sales
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.88,3.00,0.70,-25.82,-70.00,Loss,Low Sales
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.11,8.00,0.20,17.60,23.75,Profit,Low Sales
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.99,1.00,0.20,2.10,7.50,Profit,Low Sales
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.30,1.00,0.20,1.07,32.50,Profit,Low Sales
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5.00,0.20,67.99,20.00,Profit,Low Sales
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2.00,0.00,10.91,26.00,Profit,Low Sales
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2.00,0.00,22.79,30.00,Profit,Low Sales
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6.00,0.00,13.35,49.00,Profit,Low Sales
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.10,14.00,0.20,14.53,36.25,Profit,Low Sales
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2.00,0.20,1.65,35.00,Profit,Low Sales
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.98,3.00,0.20,7.49,31.25,Profit,Low Sales
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.46,6.00,0.20,44.03,33.75,Profit,Low Sales
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3.00,0.00,165.38,21.00,Profit,High Sales
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.79,1.00,0.70,-115.72,-73.33,Loss,Low Sales
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3.00,0.00,18.35,39.00,Profit,Low Sales
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4.00,0.00,13.88,45.00,Profit,Low Sales
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6.00,0.00,63.44,28.00,Profit,Low Sales
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9.00,0.00,51.76,45.00,Profit,Low Sales
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7.00,0.00,19.73,29.00,Profit,Low Sales
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.56,3.00,0.30,-8.58,-1.43,Loss,High Sales
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.70,6.00,0.50,-407.68,-66.00,Loss,High Sales
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.39,2.00,0.70,-1.83,-76.67,Loss,Low Sales
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.99,7.00,0.20,30.50,12.50,Profit,Low Sales
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.42,2.00,0.20,-9.16,-11.25,Loss,Low Sales
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3.00,0.00,26.24,11.00,Profit,Low Sales
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5.00,0.40,-11.99,-20.00,Loss,Low Sales
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.30,2.00,0.20,29.36,37.50,Profit,Low Sales
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.46,9.00,0.20,6.97,32.50,Profit,Low Sales
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3.00,0.00,9.62,48.00,Profit,Low Sales
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1.00,0.00,16.66,47.00,Profit,Low Sales
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4.00,0.00,3.46,30.00,Profit,Low Sales
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2.00,0.00,1.97,49.00,Profit,Low Sales
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.18,3.00,0.20,26.66,35.00,Profit,Low Sales
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6.00,0.00,18.45,28.00,Profit,Low Sales
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14.00,0.00,20.70,48.00,Profit,Low Sales
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.80,2.00,0.20,10.35,12.50,Profit,Low Sales
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3.00,0.00,2.38,27.00,Profit,Low Sales
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3.00,0.00,5.10,47.00,Profit,Low Sales
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.70,3.00,0.00,68.98,48.00,Profit,Low Sales
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43,3.00,0.00,218.25,26.00,Profit,High Sales
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7.00,0.00,20.16,3.00,Profit,High Sales
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.89,4.00,0.20,12.91,13.75,Profit,Low Sales
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11.00,0.00,103.80,27.00,Profit,Low Sales
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3.00,0.00,6.00,4.00,Profit,Low Sales
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8.00,0.00,585.55,30.00,Profit,High Sales
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.55,5.00,0.00,80.63,47.00,Profit,Low Sales
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.92,5.00,0.20,17.77,11.25,Profit,Low Sales
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,203.18,2.00,0.20,15.24,7.50,Profit,Low Sales
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,58.38,7.00,0.00,26.27,45.00,Profit,Low Sales
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,105.52,4.00,0.00,48.54,46.00,Profit,Low Sales
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,80.88,6.00,0.00,21.03,26.00,Profit,Low Sales
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3.00,0.00,1.79,27.00,Profit,Low Sales
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,457.57,2.00,0.20,51.48,11.25,Profit,Low Sales
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.62,2.00,0.00,6.87,47.00,Profit,Low Sales
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7.00,0.00,236.23,25.00,Profit,High Sales
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1.00,0.00,2.69,45.00,Profit,Low Sales
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.38,2.00,0.20,1.36,2.50,Profit,Low Sales
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.40,5.00,0.00,13.35,47.00,Profit,Low Sales
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,27.68,2.00,0.20,9.69,35.00,Profit,Low Sales
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,9.94,3.00,0.20,2.73,27.50,Profit,Low Sales
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,8159.95,8.00,0.40,-1359.99,-16.67,Loss,High Sales
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,275.93,3.00,0.20,-58.63,-21.25,Loss,Low Sales
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,1740.06,9.00,0.30,-24.86,-1.43,Loss,High Sales
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,32.06,6.00,0.20,6.81,21.25,Profit,Low Sales
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,177.98,5.00,0.80,-453.85,-255.00,Loss,Low Sales
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,143.98,3.00,0.20,9.00,6.25,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,20.94,3.00,0.00,9.84,47.00,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,110.96,2.00,0.00,53.26,48.00,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,340.14,7.00,0.20,21.26,6.25,Profit,Low Sales
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,52.45,2.00,0.80,-131.12,-250.00,Loss,Low Sales
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,20.16,4.00,0.20,6.55,32.50,Profit,Low Sales
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,97.26,4.00,0.80,-243.16,-250.00,Loss,Low Sales
Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,396.80,7.00,0.30,-11.34,-2.86,Loss,Low Sales
Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,15.88,5.00,0.20,-3.77,-23.75,Loss,Low Sales
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,3.28,1.00,0.00,1.41,43.00,Profit,Low Sales
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,24.82,2.00,0.20,1.86,7.50,Profit,Low Sales
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories,408.74,7.00,0.20,76.64,18.75,Profit,Low Sales
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,503.96,4.00,0.00,131.03,26.00,Profit,High Sales
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,149.95,5.00,0.00,41.99,28.00,Profit,Low Sales
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories,29.00,2.00,0.00,7.25,25.00,Profit,Low Sales
Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,7.16,2.00,0.00,3.44,48.00,Profit,Low Sales
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories,176.80,8.00,0.00,22.98,13.00,Profit,Low Sales
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Storage,37.22,3.00,0.20,3.72,10.00,Profit,Low Sales
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Paper,20.02,3.00,0.20,6.26,31.25,Profit,Low Sales
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,899.14,4.00,0.20,112.39,12.50,Profit,High Sales
First Class,Home Office,United States,New York City,New York,10035,East,Technology,Phones,71.76,6.00,0.00,20.09,28.00,Profit,Low Sales
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,51.84,8.00,0.00,24.88,48.00,Profit,Low Sales
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,626.35,3.00,0.20,46.98,7.50,Profit,High Sales
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,19.90,5.00,0.00,6.57,33.00,Profit,Low Sales
Standard Class,Corporate,United States,Redlands,California,92374,West,Office Supplies,Envelopes,14.28,7.00,0.00,6.71,47.00,Profit,Low Sales
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,7.41,2.00,0.20,1.20,16.25,Profit,Low Sales
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,6.05,3.00,0.20,1.59,26.25,Profit,Low Sales
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Storage,46.26,3.00,0.00,12.03,26.00,Profit,Low Sales
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,2.95,2.00,0.70,-2.26,-76.67,Loss,Low Sales
